Wavelength_nm;Hydrogen (H);Mercury (Hg);Sodium (Na);Neon (Ne);Argon (Ar);Helium (He);Krypton (Kr);Xenon (Xe);Cadmium (Cd);Neon-Argon Mix;Fluorescent 2-band;Fluorescent 3-band;Fluorescent 4-band;LED Violet;LED Blue;LED Cyan;LED Green;LED Yellow;LED Amber;LED Orange;LED Red;LED White Warm;LED White Neutral;LED White Cool;Solar AM1.5G;Incandescent 2700K;Tungsten 2856K (Illuminant A);Halogen 3000K;Halogen 3200K;Cadmium-Mercury (Cd/Hg);Mercury-Argon (Hg/Ar);Mercury-Neon (Hg/Ne);Neon-Argon (Ne/Ar);Argon-Krypton (Ar/Kr);Mercury-Cadmium-Argon (Hg/Cd/Ar);Mercury-Neon-Argon (Hg/Ne/Ar)
309.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.0;0.0;0.489756;0.002318;0.004492;0.007685;0.014689;0.0;0.0;0.0;0.0;0.0;0.0;0.0
309.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.0;0.0;0.50067;0.002365;0.004575;0.007817;0.014917;0.0;0.0;0.0;0.0;0.0;0.0;0.0
310.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.0;0.0;0.511664;0.002412;0.004659;0.007951;0.015148;0.0;0.0;0.0;0.0;0.0;0.0;0.0
310.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.0;0.0;0.514171;0.00246;0.004744;0.008086;0.015382;0.0;0.0;0.0;0.0;0.0;0.0;0.0
311.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.0;0.0;0.516675;0.002508;0.004831;0.008223;0.015618;0.0;0.0;0.0;0.0;0.0;0.0;0.0
311.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.519176;0.002557;0.004918;0.008361;0.015857;0.0;0.0;0.0;0.0;0.0;0.0;0.0
312.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.521675;0.002608;0.005007;0.008502;0.016099;0.0;0.0;0.0;0.0;0.0;0.0;0.0
312.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.524171;0.002658;0.005097;0.008644;0.016343;0.0;0.0;0.0;0.0;0.0;0.0;0.0
313.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.526664;0.00271;0.005189;0.008788;0.01659;0.0;0.0;0.0;0.0;0.0;0.0;0.0
313.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;0.0;0.0;0.529154;0.002763;0.005281;0.008934;0.01684;0.0;0.0;0.0;0.0;0.0;0.0;0.0
